max_depth	min_split	minbucket	cp	ganancia_promedio
4	400	0.45	0.5	0
4	400	0.45	0.6	0
4	400	0.45	0.7	0
4	400	0.45	0.8	0
4	400	0.45	0.9	0
4	400	0.5	-0.9	48302000
4	400	0.5	-0.8	48302000
4	400	0.5	-0.7	48302000
4	400	0.5	-0.6	48302000
4	400	0.5	-0.5	48302000
4	400	0.5	-0.4	48302000
4	400	0.5	-0.3	48302000
4	400	0.5	-0.2	48302000
4	400	0.5	-0.1	48302000
4	400	0.5	0	0
4	400	0.5	0.1	0
4	400	0.5	0.2	0
4	400	0.5	0.3	0
4	400	0.5	0.4	0
4	400	0.5	0.5	0
4	400	0.5	0.6	0
4	400	0.5	0.7	0
4	400	0.5	0.8	0
4	400	0.5	0.9	0
4	200	0.1	-0.9	46532000
4	200	0.1	-0.8	46532000
4	200	0.1	-0.7	46532000
4	200	0.1	-0.6	46532000
4	200	0.1	-0.5	46532000
4	200	0.1	-0.4	46532000
4	200	0.1	-0.3	46532000
4	200	0.1	-0.2	46532000
4	200	0.1	-0.1	46532000
4	200	0.1	0	0
4	200	0.1	0.1	0
4	200	0.1	0.2	0
4	200	0.1	0.3	0
4	200	0.1	0.4	0
4	200	0.1	0.5	0
4	200	0.1	0.6	0
4	200	0.1	0.7	0
4	200	0.1	0.8	0
4	200	0.1	0.9	0
4	200	0.15	-0.9	47198000
4	200	0.15	-0.8	47198000
4	200	0.15	-0.7	47198000
4	200	0.15	-0.6	47198000
4	200	0.15	-0.5	47198000
4	200	0.15	-0.4	47198000
4	200	0.15	-0.3	47198000
4	200	0.15	-0.2	47198000
4	200	0.15	-0.1	47198000
4	200	0.15	0	0
4	200	0.15	0.1	0
4	200	0.15	0.2	0
4	200	0.15	0.3	0
4	200	0.15	0.4	0
4	200	0.15	0.5	0
4	200	0.15	0.6	0
4	200	0.15	0.7	0
4	200	0.15	0.8	0
4	200	0.15	0.9	0
4	200	0.2	-0.9	47180000
4	200	0.2	-0.8	47180000
4	200	0.2	-0.7	47180000
4	200	0.2	-0.6	47180000
4	200	0.2	-0.5	47180000
4	200	0.2	-0.4	47180000
4	200	0.2	-0.3	47180000
4	200	0.2	-0.2	47180000
4	200	0.2	-0.1	47180000
4	200	0.2	0	0
4	200	0.2	0.1	0
4	200	0.2	0.2	0
4	200	0.2	0.3	0
4	200	0.2	0.4	0
4	200	0.2	0.5	0
4	200	0.2	0.6	0
4	200	0.2	0.7	0
4	200	0.2	0.8	0
4	200	0.2	0.9	0
4	200	0.25	-0.9	47150000
4	200	0.25	-0.8	47150000
4	200	0.25	-0.7	47150000
4	200	0.25	-0.6	47150000
4	200	0.25	-0.5	47150000
4	200	0.25	-0.4	47150000
4	200	0.25	-0.3	47150000
4	200	0.25	-0.2	47150000
4	200	0.25	-0.1	47150000
4	200	0.25	0	0
4	200	0.25	0.1	0
4	200	0.25	0.2	0
4	200	0.25	0.3	0
4	200	0.25	0.4	0
4	200	0.25	0.5	0
4	200	0.25	0.6	0
4	200	0.25	0.7	0
4	200	0.25	0.8	0
4	200	0.25	0.9	0
4	200	0.3	-0.9	47192000
4	200	0.3	-0.8	47192000
4	200	0.3	-0.7	47192000
4	200	0.3	-0.6	47192000
4	200	0.3	-0.5	47192000
4	200	0.3	-0.4	47192000
4	200	0.3	-0.3	47192000
4	200	0.3	-0.2	47192000
4	200	0.3	-0.1	47192000
4	200	0.3	0	0
4	200	0.3	0.1	0
4	200	0.3	0.2	0
4	200	0.3	0.3	0
4	200	0.3	0.4	0
4	200	0.3	0.5	0
4	200	0.3	0.6	0
4	200	0.3	0.7	0
4	200	0.3	0.8	0
4	200	0.3	0.9	0
4	200	0.35	-0.9	47204000
4	200	0.35	-0.8	47204000
4	200	0.35	-0.7	47204000
4	200	0.35	-0.6	47204000
4	200	0.35	-0.5	47204000
4	200	0.35	-0.4	47204000
4	200	0.35	-0.3	47204000
4	200	0.35	-0.2	47204000
4	200	0.35	-0.1	47204000
4	200	0.35	0	0
4	200	0.35	0.1	0
4	200	0.35	0.2	0
4	200	0.35	0.3	0
4	200	0.35	0.4	0
4	200	0.35	0.5	0
4	200	0.35	0.6	0
4	200	0.35	0.7	0
4	200	0.35	0.8	0
4	200	0.35	0.9	0
4	200	0.4	-0.9	47374000
4	200	0.4	-0.8	47374000
4	200	0.4	-0.7	47374000
4	200	0.4	-0.6	47374000
4	200	0.4	-0.5	47374000
4	200	0.4	-0.4	47374000
4	200	0.4	-0.3	47374000
4	200	0.4	-0.2	47374000
4	200	0.4	-0.1	47374000
4	200	0.4	0	0
4	200	0.4	0.1	0
4	200	0.4	0.2	0
4	200	0.4	0.3	0
4	200	0.4	0.4	0
4	200	0.4	0.5	0
4	200	0.4	0.6	0
4	200	0.4	0.7	0
4	200	0.4	0.8	0
4	200	0.4	0.9	0
4	200	0.45	-0.9	47440000
4	200	0.45	-0.8	47440000
4	200	0.45	-0.7	47440000
4	200	0.45	-0.6	47440000
4	200	0.45	-0.5	47440000
4	200	0.45	-0.4	47440000
4	200	0.45	-0.3	47440000
4	200	0.45	-0.2	47440000
4	200	0.45	-0.1	47440000
4	200	0.45	0	0
4	200	0.45	0.1	0
4	200	0.45	0.2	0
4	200	0.45	0.3	0
4	200	0.45	0.4	0
4	200	0.45	0.5	0
4	200	0.45	0.6	0
4	200	0.45	0.7	0
4	200	0.45	0.8	0
4	200	0.45	0.9	0
4	200	0.5	-0.9	47294000
4	200	0.5	-0.8	47294000
4	200	0.5	-0.7	47294000
4	200	0.5	-0.6	47294000
4	200	0.5	-0.5	47294000
4	200	0.5	-0.4	47294000
4	200	0.5	-0.3	47294000
4	200	0.5	-0.2	47294000
4	200	0.5	-0.1	47294000
4	200	0.5	0	0
4	200	0.5	0.1	0
4	200	0.5	0.2	0
4	200	0.5	0.3	0
4	200	0.5	0.4	0
4	200	0.5	0.5	0
4	200	0.5	0.6	0
4	200	0.5	0.7	0
